fecha,hora,parametro,value
2023-10-30,16:24,power_1,-0.011648
2023-10-30,17:24,power_1,-0.012942
2023-10-30,18:24,power_1,-0.014236
2023-10-30,19:24,power_1,-0.012618
2023-10-30,20:24,power_1,-0.012295
2023-10-30,21:24,power_1,-0.010354
2023-10-30,22:24,power_1,-0.013589
2023-10-30,23:24,power_1,-0.012618
2023-10-31,00:24,power_1,-0.014236
2023-10-31,01:24,power_1,-0.014883
2023-10-31,02:24,power_1,-0.012618
2023-10-31,03:24,power_1,-0.012942
2023-10-31,04:24,power_1,-0.012618
2023-10-31,05:24,power_1,-0.013589
2023-10-31,06:24,power_1,-0.012618
2023-10-31,07:24,power_1,-0.01456
2023-10-31,08:24,power_1,-0.014236
2023-10-31,09:24,power_1,-0.014883
2023-10-31,10:24,power_1,-0.013589
2023-10-31,11:24,power_1,-0.011971
2023-10-31,12:24,power_1,-0.013913
2023-10-31,13:24,power_1,-0.014236
2023-10-31,14:24,power_1,-0.013266
2023-10-31,15:24,power_1,-0.013913
2023-10-31,16:24,power_1,-0.013589
2023-10-31,17:24,power_1,-0.013266
2023-10-31,18:24,power_1,-0.01553
2023-10-31,19:24,power_1,-0.012618
2023-10-31,20:24,power_1,-0.014883
2023-10-31,21:24,power_1,-0.014236
2023-10-31,22:24,power_1,-0.012618
2023-10-31,23:24,power_1,-0.012942
2023-11-01,00:00,power_2,2.305294
2023-11-01,01:00,power_2,2.814885
2023-11-01,02:01,power_2,2.557016
2023-11-01,03:01,power_2,2.098545
2023-11-01,04:01,power_2,2.024452
2023-11-01,05:01,power_2,2.181374
2023-11-01,06:01,power_2,2.220847
2023-11-01,07:01,power_2,2.729468
2023-11-01,08:01,power_2,1.623897
2023-11-01,09:01,power_2,1.5786
2023-11-01,10:01,power_2,1.533303
2023-11-01,11:01,power_2,1.51389
2023-11-01,12:01,power_2,1.40809
2023-11-01,13:01,power_2,1.715139
2023-11-01,14:01,power_2,1.547863
2023-11-01,15:01,power_2,1.546893
2023-11-01,16:01,power_2,1.479594
2023-11-01,17:01,power_2,1.436238
2023-11-01,18:01,power_2,1.420708
2023-11-01,19:01,power_2,1.420384
2023-11-01,20:01,power_2,1.458887
2023-11-01,21:01,power_2,1.509684
2023-11-01,22:01,power_2,1.259904
2023-11-01,23:01,power_2,1.330761
2023-11-02,00:01,power_2,1.416825
2023-11-02,01:01,power_2,2.595842
2023-11-02,02:02,power_2,2.752763
2023-11-02,03:02,power_2,2.353826
2023-11-02,04:02,power_2,2.25935
2023-11-02,05:02,power_2,2.315
2023-11-02,06:02,power_2,2.452833
2023-11-02,07:02,power_2,1.658841
2023-11-02,08:02,power_2,1.761406
2023-11-02,09:02,power_2,1.781466
2023-11-02,10:02,power_2,1.690872
2023-11-02,11:02,power_2,1.754935
2023-11-02,12:02,power_2,1.748141
2023-11-02,13:02,power_2,1.850706
2023-11-02,14:02,power_2,1.643634
2023-11-02,15:02,power_2,1.549481
2023-11-02,16:02,power_2,1.626162
2023-11-02,17:05,power_2,1.524891
2023-11-02,18:05,power_2,1.530391
2023-11-02,19:05,power_2,1.454681
2023-11-02,20:05,power_2,1.453063
2023-11-02,21:05,power_2,1.327849
2023-11-02,22:05,power_2,1.212018
2023-11-02,23:05,power_2,1.458563
2023-11-03,00:05,power_2,1.582483
2023-11-03,01:05,power_2,1.532009
2023-11-03,02:05,power_2,2.590988
2023-11-03,03:05,power_2,2.491982
2023-11-03,04:05,power_2,2.469657
2023-11-03,05:05,power_2,2.640815
2023-11-03,06:05,power_2,2.657316
2023-11-03,07:05,power_2,1.687313
2023-11-03,08:05,power_2,1.701226
2023-11-03,09:05,power_2,1.652046
2023-11-03,10:05,power_2,1.707697
2023-11-03,11:05,power_2,1.805085
2023-11-03,12:05,power_2,1.688607
2023-11-03,13:05,power_2,1.778231
2023-11-03,14:05,power_2,1.540422
2023-11-03,15:05,power_2,1.554011
2023-11-03,16:05,power_2,1.516155
2023-11-03,17:05,power_2,1.582159
2023-11-03,18:05,power_2,1.540098
2023-11-03,19:05,power_2,1.693137
2023-11-03,20:05,power_2,1.551422
2023-11-03,21:05,power_2,1.561129
2023-11-03,22:05,power_2,1.51292
2023-11-03,23:05,power_2,1.550775
2023-11-04,00:05,power_2,1.320731
2023-11-04,01:05,power_2,2.273909
2023-11-04,02:05,power_2,2.515601
2023-11-04,03:05,power_2,2.427272
2023-11-04,04:05,power_2,2.4043
2023-11-04,05:05,power_2,2.730762
2023-11-04,06:05,power_2,2.641139
2023-11-04,07:05,power_2,1.663371
2023-11-04,08:05,power_2,1.7517
2023-11-04,09:05,power_2,1.709962
2023-11-04,10:05,power_2,1.77273
2023-11-04,11:05,power_2,1.764318
2023-11-04,12:05,power_2,1.759788
2023-11-04,13:05,power_2,1.729051
2023-11-04,14:05,power_2,1.55757
2023-11-04,15:05,power_2,1.485418
2023-11-04,16:05,power_2,1.380264
2023-11-04,17:05,power_2,1.301642
2023-11-04,18:05,power_2,1.311348
2023-11-04,19:05,power_2,1.282552
2023-11-04,20:05,power_2,1.265081
2023-11-04,21:05,power_2,1.247609
2023-11-04,22:05,power_2,1.333997
2023-11-04,23:05,power_2,1.352115
2023-11-05,00:05,power_2,2.388123
2023-11-05,01:05,power_2,1.340791
2023-11-05,02:05,power_2,2.208876
2023-11-05,03:05,power_2,2.693554
2023-11-05,04:05,power_2,2.638227
2023-11-05,05:05,power_2,2.611049
2023-11-05,06:05,power_2,1.460505
2023-11-05,07:05,power_2,1.486065
2023-11-05,08:05,power_2,1.663047
2023-11-05,09:05,power_2,1.787614
2023-11-05,10:05,power_2,1.793438
2023-11-05,11:05,power_2,1.810586
2023-11-05,12:05,power_2,1.74264
2023-11-05,13:05,power_2,1.620338
2023-11-05,14:05,power_2,1.642016
2023-11-05,15:05,power_2,1.524244
2023-11-05,16:05,power_2,1.378647
2023-11-05,17:05,power_2,1.459211
2023-11-05,18:05,power_2,1.373793
2023-11-05,19:05,power_2,1.620015
2023-11-05,20:05,power_2,1.651076
2023-11-05,21:05,power_2,1.719668
2023-11-05,22:05,power_2,1.655929
2023-11-05,23:05,power_2,1.289347
2023-11-06,00:05,power_2,1.504184
2023-11-06,01:05,power_2,1.594454
2023-11-06,02:05,power_2,2.66314
2023-11-06,03:05,power_2,1.467946
